constructorId,fullName,id,name
mercedes,Mercedes F1 W15,mercedes-f1-w15,F1 W15
mercedes,Mercedes F1 W16,mercedes-f1-w16,F1 W16
mercedes,Mercedes MGP W01,mercedes-mgp-w01,MGP W01
mercedes,Mercedes MGP W02,mercedes-mgp-w02,MGP W02
mercedes,Mercedes W196,mercedes-w196,W196
merzario,Merzario A1,merzario-a1,A1
merzario,Merzario A1B,merzario-a1b,A1B
merzario,Merzario A2,merzario-a2,A2
merzario,Merzario A4,merzario-a4,A4
meskowski,Meskowski,meskowski,Meskowski
midland,Midland M16,midland-m16,M16
minardi,Minardi M01,minardi-m01,M01
minardi,Minardi M02,minardi-m02,M02
minardi,Minardi M185,minardi-m185,M185
minardi,Minardi M185B,minardi-m185b,M185B
minardi,Minardi M186,minardi-m186,M186
minardi,Minardi M187,minardi-m187,M187
minardi,Minardi M188,minardi-m188,M188
minardi,Minardi M188B,minardi-m188b,M188B
minardi,Minardi M189,minardi-m189,M189
minardi,Minardi M190,minardi-m190,M190
minardi,Minardi M191,minardi-m191,M191
minardi,Minardi M191B,minardi-m191b,M191B
minardi,Minardi M192,minardi-m192,M192
minardi,Minardi M193,minardi-m193,M193
minardi,Minardi M193B,minardi-m193b,M193B
minardi,Minardi M194,minardi-m194,M194
minardi,Minardi M195,minardi-m195,M195
minardi,Minardi M195B,minardi-m195b,M195B
minardi,Minardi M197,minardi-m197,M197
minardi,Minardi M198,minardi-m198,M198
minardi,Minardi PS01,minardi-ps01,PS01
minardi,Minardi PS01B,minardi-ps01b,PS01B
minardi,Minardi PS02,minardi-ps02,PS02
minardi,Minardi PS03,minardi-ps03,PS03
minardi,Minardi PS04,minardi-ps04,PS04
minardi,Minardi PS04B,minardi-ps04b,PS04B
minardi,Minardi PS05,minardi-ps05,PS05
modena,Lambo 291,modena-291,291
moore,Moore,moore,Moore
nacke,Nacke HH48,nacke-hh48,HH48
nichels,Nichels,nichels,Nichels
olson,Olson Special,olson-special,Special
onyx,Onyx ORE-1,onyx-ore-1,ORE-1
onyx,Onyx ORE-1B,onyx-ore-1b,ORE-1B
osca,OSCA 20,osca-20,20
osca,OSCA 4500G,osca-4500g,4500G
osca,OSCA F2,osca-f2,F2
osella,Osella FA1,osella-fa1,FA1
osella,Osella FA1B,osella-fa1b,FA1B
osella,Osella FA1C,osella-fa1c,FA1C
osella,Osella FA1D,osella-fa1d,FA1D
osella,Osella FA1E,osella-fa1e,FA1E
osella,Osella FA1F,osella-fa1f,FA1F
osella,Osella FA1G,osella-fa1g,FA1G
osella,Osella FA1H,osella-fa1h,FA1H
osella,Osella FA1I,osella-fa1i,FA1I
osella,Osella FA1L,osella-fa1l,FA1L
osella,Osella FA1M,osella-fa1m,FA1M
osella,Osella FA1ME,osella-fa1me,FA1ME
pacific,Pacific PR01,pacific-pr01,PR01
pacific,Pacific PR02,pacific-pr02,PR02
pankratz,Pankratz D,pankratz-d,D
parnelli,Parnelli VPJ4,parnelli-vpj4,VPJ4
parnelli,Parnelli VPJ4B,parnelli-vpj4b,VPJ4B
pawl,Pawl,pawl,Pawl
penske,Penske PC1,penske-pc1,PC1
penske,Penske PC3,penske-pc3,PC3
penske,Penske PC4,penske-pc4,PC4
phillips,Phillips,phillips,Phillips
politoys,Politoys FX3,politoys-fx3,FX3
porsche,Porsche 718,porsche-718,718
porsche,Porsche 787,porsche-787,787
porsche,Porsche 804,porsche-804,804
porsche,Porsche RS550,porsche-rs550,RS550
porsche,Porsche RSK,porsche-rsk,RSK
prost,Prost AP01,prost-ap01,AP01
prost,Prost AP02,prost-ap02,AP02
prost,Prost AP03,prost-ap03,AP03
prost,Prost AP04,prost-ap04,AP04
prost,Prost JS45,prost-js45,JS45
protos,Protos F2,protos-f2,F2
racing-bulls,Racing Bulls VCARB 02,racing-bulls-vcarb-02,VCARB 02
racing-point,Racing Point RP19,racing-point-rp19,RP19
racing-point,Racing Point RP20,racing-point-rp20,RP20
rae,Rae,rae,Rae
ram,RAM 01,ram-01,1
ram,RAM 02,ram-02,2
ram,RAM 03,ram-03,3
rb,RB VCARB 01,rb-vcarb-01,VCARB 01
rebaque,Rebaque HR100,rebaque-hr100,HR100
red-bull,Red Bull RB1,red-bull-rb1,RB1
red-bull,Red Bull RB10,red-bull-rb10,RB10
red-bull,Red Bull RB11,red-bull-rb11,RB11
red-bull,Red Bull RB12,red-bull-rb12,RB12
red-bull,Red Bull RB13,red-bull-rb13,RB13
red-bull,Red Bull RB14,red-bull-rb14,RB14
red-bull,Red Bull RB15,red-bull-rb15,RB15
red-bull,Red Bull RB16,red-bull-rb16,RB16
red-bull,Red Bull RB16B,red-bull-rb16b,RB16B
red-bull,Red Bull RB18,red-bull-rb18,RB18
red-bull,Red Bull RB19,red-bull-rb19,RB19
red-bull,Red Bull RB2,red-bull-rb2,RB2
red-bull,Red Bull RB20,red-bull-rb20,RB20
red-bull,Red Bull RB21,red-bull-rb21,RB21
red-bull,Red Bull RB3,red-bull-rb3,RB3
red-bull,Red Bull RB4,red-bull-rb4,RB4
red-bull,Red Bull RB5,red-bull-rb5,RB5
red-bull,Red Bull RB6,red-bull-rb6,RB6
red-bull,Red Bull RB7,red-bull-rb7,RB7
red-bull,Red Bull RB8,red-bull-rb8,RB8
red-bull,Red Bull RB9,red-bull-rb9,RB9
reif,Reif,reif,Reif
renault,Renault R202,renault-r202,R202
renault,Renault R23,renault-r23,R23
renault,Renault R23B,renault-r23b,R23B
renault,Renault R24,renault-r24,R24
renault,Renault R24B,renault-r24b,R24B
renault,Renault R25,renault-r25,R25
renault,Renault R26,renault-r26,R26
renault,Renault R27,renault-r27,R27
renault,Renault R28,renault-r28,R28
renault,Renault R29,renault-r29,R29
renault,Renault R30,renault-r30,R30
renault,Renault R31,renault-r31,R31
renault,Renault RE20,renault-re20,RE20
renault,Renault RE20B,renault-re20b,RE20B
renault,Renault RE30,renault-re30,RE30
renault,Renault RE30B,renault-re30b,RE30B
renault,Renault RE30C,renault-re30c,RE30C
renault,Renault RE40,renault-re40,RE40
renault,Renault RE50,renault-re50,RE50
renault,Renault RE60,renault-re60,RE60
renault,Renault RE60B,renault-re60b,RE60B
renault,Renault RS01,renault-rs01,RS01
renault,Renault RS10,renault-rs10,RS10
renault,Renault R.S.16,renault-rs16,R.S.16
renault,Renault R.S.17,renault-rs17,R.S.17
renault,Renault R.S.18,renault-rs18,R.S.18
renault,Renault R.S.19,renault-rs19,R.S.19
renault,Renault R.S.20,renault-rs20,R.S.20
rial,Rial ARC1,rial-arc1,ARC1
rial,Rial ARC2,rial-arc2,ARC2
sauber,Sauber C12,sauber-c12,C12
sauber,Sauber C13,sauber-c13,C13
sauber,Sauber C14,sauber-c14,C14
sauber,Sauber C15,sauber-c15,C15
sauber,Sauber C16,sauber-c16,C16
sauber,Sauber C17,sauber-c17,C17
sauber,Sauber C18,sauber-c18,C18
sauber,Sauber C19,sauber-c19,C19
sauber,Sauber C20,sauber-c20,C20
sauber,Sauber C21,sauber-c21,C21
sauber,Sauber C22,sauber-c22,C22
sauber,Sauber C23,sauber-c23,C23
sauber,Sauber C24,sauber-c24,C24
sauber,Sauber C29,sauber-c29,C29
sauber,Sauber C30,sauber-c30,C30
sauber,Sauber C31,sauber-c31,C31
sauber,Sauber C32,sauber-c32,C32
sauber,Sauber C33,sauber-c33,C33
sauber,Sauber C34,sauber-c34,C34
sauber,Sauber C35,sauber-c35,C35
sauber,Sauber C36,sauber-c36,C36
sauber,Sauber C37,sauber-c37,C37
scarab,Scarab F1,scarab-f1,F1
schroeder,Schroeder,schroeder,Schroeder
scirocco,Scirocco SP,scirocco-sp,SP
shadow,Shadow DN1,shadow-dn1,DN1
shadow,Shadow DN11,shadow-dn11,DN11
shadow,Shadow DN12,shadow-dn12,DN12
shadow,Shadow DN3,shadow-dn3,DN3
shadow,Shadow DN3B,shadow-dn3b,DN3B
shadow,Shadow DN5,shadow-dn5,DN5
shadow,Shadow DN5B,shadow-dn5b,DN5B
shadow,Shadow DN7,shadow-dn7,DN7
shadow,Shadow DN8,shadow-dn8,DN8
shadow,Shadow DN9,shadow-dn9,DN9
shannon,Shannon SH1,shannon-sh1,SH1
sherman,Sherman,sherman,Sherman
simca-gordini,Simca-Gordini T11,simca-gordini-t11,T11
simca-gordini,Simca-Gordini T15,simca-gordini-t15,T15
simtek,Simtek S941,simtek-s941,S941
simtek,Simtek S951,simtek-s951,S951
snowberger,Snowberger,snowberger,Snowberger
spirit,Spirit 101,spirit-101,101
spirit,Spirit 101C,spirit-101c,101C
spirit,Spirit 101D,spirit-101d,101D
spirit,Spirit 201,spirit-201,201
spirit,Spirit 201C,spirit-201c,201C
spyker,Spyker F8-VII,spyker-f8-vii,F8-VII
spyker,Spyker F8-VIIB,spyker-f8-viib,F8-VIIB
stebro,Stebro Mk IV,stebro-mk-iv,Mk IV
stevens,Stevens Ansted Special,stevens-ansted-special,Ansted Special
stevens,Stevens Belanger Indy Special,stevens-belanger-indy-special,Belanger Indy Special
stevens,Stevens Chapman Special,stevens-chapman-special,Chapman Special
stevens,Stevens,stevens,Stevens
stewart,Stewart SF01,stewart-sf01,SF01
stewart,Stewart SF02,stewart-sf02,SF02
stewart,Stewart SF3,stewart-sf3,SF3
super-aguri,Super Aguri SA05,super-aguri-sa05,SA05
super-aguri,Super Aguri SA06,super-aguri-sa06,SA06
super-aguri,Super Aguri SA07,super-aguri-sa07,SA07
super-aguri,Super Aguri SA08,super-aguri-sa08,SA08
surtees,Surtees TS14,surtees-ts14,TS14
surtees,Surtees TS14A,surtees-ts14a,TS14A
surtees,Surtees TS16,surtees-ts16,TS16
surtees,Surtees TS19,surtees-ts19,TS19
surtees,Surtees TS20,surtees-ts20,TS20
surtees,Surtees TS7,surtees-ts7,TS7
surtees,Surtees TS9,surtees-ts9,TS9
surtees,Surtees TS9B,surtees-ts9b,TS9B
sutton,Sutton,sutton,Sutton
talbot-lago,Talbot-Lago T26C-DA,talbot-lago-t26c-da,T26C-DA
talbot-lago,Talbot-Lago T26C-GS,talbot-lago-t26c-gs,T26C-GS
talbot-lago,Talbot-Lago T26C,talbot-lago-t26c,T26C
tec-mec,Tec-Mec F415,tec-mec-f415,F415
tecno,Tecno PA123/3,tecno-pa123-3,PA123/3
tecno,Tecno PA123/6,tecno-pa123-6,PA123/6
tecno,Tecno TF69,tecno-tf69,TF69
theodore,Theodore N183,theodore-n183,N183
theodore,Theodore TR1,theodore-tr1,TR1
theodore,Theodore TY01,theodore-ty01,TY01
theodore,Theodore TY02,theodore-ty02,TY02
token,Token RJ02,token-rj02,RJ02
toleman,Toleman TG181,toleman-tg181,TG181
toleman,Toleman TG181B,toleman-tg181b,TG181B
toleman,Toleman TG181C,toleman-tg181c,TG181C
toleman,Toleman TG183,toleman-tg183,TG183
toleman,Toleman TG183B,toleman-tg183b,TG183B
toleman,Toleman TG184,toleman-tg184,TG184
toleman,Toleman TG185,toleman-tg185,TG185
toro-rosso,Toro Rosso STR1,toro-rosso-str1,STR1
toro-rosso,Toro Rosso STR10,toro-rosso-str10,STR10
toro-rosso,Toro Rosso STR11,toro-rosso-str11,STR11
toro-rosso,Toro Rosso STR12,toro-rosso-str12,STR12
toro-rosso,Toro Rosso STR13,toro-rosso-str13,STR13
toro-rosso,Toro Rosso STR14,toro-rosso-str14,STR14
toro-rosso,Toro Rosso STR2,toro-rosso-str2,STR2
toro-rosso,Toro Rosso STR2B,toro-rosso-str2b,STR2B
toro-rosso,Toro Rosso STR3,toro-rosso-str3,STR3
toro-rosso,Toro Rosso STR4,toro-rosso-str4,STR4
toro-rosso,Toro Rosso STR5,toro-rosso-str5,STR5
toro-rosso,Toro Rosso STR6,toro-rosso-str6,STR6
toro-rosso,Toro Rosso STR7,toro-rosso-str7,STR7
toro-rosso,Toro Rosso STR8,toro-rosso-str8,STR8
toro-rosso,Toro Rosso STR9,toro-rosso-str9,STR9
toyota,Toyota TF102,toyota-tf102,TF102
toyota,Toyota TF103,toyota-tf103,TF103
toyota,Toyota TF104,toyota-tf104,TF104
toyota,Toyota TF104B,toyota-tf104b,TF104B
toyota,Toyota TF105,toyota-tf105,TF105
toyota,Toyota TF105B,toyota-tf105b,TF105B
toyota,Toyota TF106,toyota-tf106,TF106
toyota,Toyota TF106B,toyota-tf106b,TF106B
toyota,Toyota TF107,toyota-tf107,TF107
toyota,Toyota TF108,toyota-tf108,TF108
toyota,Toyota TF109,toyota-tf109,TF109
trevis,Trevis Indycar,trevis-indycar,Indycar
trojan,Trojan T103,trojan-t103,T103
turner,Turner,turner,Turner
tyrrell,Tyrrell 001,tyrrell-001,1
tyrrell,Tyrrell 002,tyrrell-002,2
tyrrell,Tyrrell 003,tyrrell-003,3
tyrrell,Tyrrell 004,tyrrell-004,4
tyrrell,Tyrrell 005,tyrrell-005,5
tyrrell,Tyrrell 006,tyrrell-006,6
tyrrell,Tyrrell 007,tyrrell-007,7
tyrrell,Tyrrell 008,tyrrell-008,008
tyrrell,Tyrrell 009,tyrrell-009,009
tyrrell,Tyrrell 010,tyrrell-010,8
tyrrell,Tyrrell 011,tyrrell-011,9
tyrrell,Tyrrell 011B,tyrrell-011b,011B
tyrrell,Tyrrell 012,tyrrell-012,10
tyrrell,Tyrrell 014,tyrrell-014,12
tyrrell,Tyrrell 015,tyrrell-015,13
tyrrell,Tyrrell 017,tyrrell-017,15
tyrrell,Tyrrell 017B,tyrrell-017b,017B
tyrrell,Tyrrell 018,tyrrell-018,018
tyrrell,Tyrrell 019,tyrrell-019,019
tyrrell,Tyrrell 020,tyrrell-020,16
tyrrell,Tyrrell 020B,tyrrell-020b,020B
tyrrell,Tyrrell 020C,tyrrell-020c,020C
tyrrell,Tyrrell 021,tyrrell-021,17
tyrrell,Tyrrell 022,tyrrell-022,18
tyrrell,Tyrrell 023,tyrrell-023,19
tyrrell,Tyrrell 024,tyrrell-024,20
tyrrell,Tyrrell 025,tyrrell-025,21
tyrrell,Tyrrell 026,tyrrell-026,22
tyrrell,Tyrrell DG016,tyrrell-dg016,DG016
tyrrell,Tyrrell P34,tyrrell-p34,P34
vanwall,Vanwall Special,vanwall-special,Special
vanwall,Vanwall VW 11,vanwall-vw-11,VW 11
vanwall,Vanwall VW 2,vanwall-vw-2,VW 2
vanwall,Vanwall VW 5,vanwall-vw-5,VW 5
vanwall,Vanwall VW 55,vanwall-vw-55,VW 55
vanwall,Vanwall VW 59,vanwall-vw-59,VW 59
venturi,Venturi LC92,venturi-lc92,LC92
veritas,Veritas Meteor,veritas-meteor,Meteor
veritas,Veritas RS,veritas-rs,RS
virgin,Virgin MVR-02,virgin-mvr-02,MVR-02
virgin,Virgin VR-01,virgin-vr-01,VR-01
watson,Watson CC-50,watson-cc-50,CC-50
watson,Watson CC-53,watson-cc-53,CC-53
watson,Watson Indy Roadster,watson-indy-roadster,Indy Roadster
wetteroth,Wetteroth,wetteroth,Wetteroth
williams,Williams FW06,williams-fw06,FW06
williams,Williams FW07,williams-fw07,FW07
williams,Williams FW07B,williams-fw07b,FW07B
williams,Williams FW07C,williams-fw07c,FW07C
williams,Williams FW07D,williams-fw07d,FW07D
williams,Williams FW08,williams-fw08,FW08
williams,Williams FW08C,williams-fw08c,FW08C
williams,Williams FW09,williams-fw09,FW09
williams,Williams FW09B,williams-fw09b,FW09B
williams,Williams FW10,williams-fw10,FW10
williams,Williams FW10B,williams-fw10b,FW10B
williams,Williams FW11,williams-fw11,FW11
williams,Williams FW11B,williams-fw11b,FW11B
williams,Williams FW12,williams-fw12,FW12
williams,Williams FW12C,williams-fw12c,FW12C
williams,Williams FW13,williams-fw13,FW13
williams,Williams FW13B,williams-fw13b,FW13B
williams,Williams FW14,williams-fw14,FW14
williams,Williams FW14B,williams-fw14b,FW14B
williams,Williams FW15C,williams-fw15c,FW15C
williams,Williams FW16,williams-fw16,FW16
williams,Williams FW16B,williams-fw16b,FW16B
williams,Williams FW17,williams-fw17,FW17
williams,Williams FW17B,williams-fw17b,FW17B
williams,Williams FW18,williams-fw18,FW18
williams,Williams FW19,williams-fw19,FW19
williams,Williams FW20,williams-fw20,FW20
williams,Williams FW21,williams-fw21,FW21
williams,Williams FW22,williams-fw22,FW22
williams,Williams FW23,williams-fw23,FW23
williams,Williams FW24,williams-fw24,FW24
williams,Williams FW25,williams-fw25,FW25
williams,Williams FW26,williams-fw26,FW26
williams,Williams FW27,williams-fw27,FW27
williams,Williams FW28,williams-fw28,FW28
williams,Williams FW29,williams-fw29,FW29
williams,Williams FW30,williams-fw30,FW30
williams,Williams FW31,williams-fw31,FW31
williams,Williams FW32,williams-fw32,FW32
williams,Williams FW33,williams-fw33,FW33
williams,Williams FW34,williams-fw34,FW34
williams,Williams FW35,williams-fw35,FW35
williams,Williams FW36,williams-fw36,FW36
williams,Williams FW37,williams-fw37,FW37
williams,Williams FW38,williams-fw38,FW38
williams,Williams FW40,williams-fw40,FW40
williams,Williams FW41,williams-fw41,FW41
williams,Williams FW42,williams-fw42,FW42
williams,Williams FW43,williams-fw43,FW43
williams,Williams FW43B,williams-fw43b,FW43B
williams,Williams FW44,williams-fw44,FW44
williams,Williams FW45,williams-fw45,FW45
williams,Williams FW46,williams-fw46,FW46
williams,Williams FW47,williams-fw47,FW47
wolf-williams,Wolf-Williams FW04,wolf-williams-fw04,FW04
wolf-williams,Wolf-Williams FW05,wolf-williams-fw05,FW05
wolf,Wolf WR1,wolf-wr1,WR1
wolf,Wolf WR2,wolf-wr2,WR2
wolf,Wolf WR3,wolf-wr3,WR3
wolf,Wolf WR4,wolf-wr4,WR4
wolf,Wolf WR5,wolf-wr5,WR5
wolf,Wolf WR6,wolf-wr6,WR6
wolf,Wolf WR7,wolf-wr7,WR7
wolf,Wolf WR8,wolf-wr8,WR8
wolf,Wolf WR9,wolf-wr9,WR9
zakspeed,Zakspeed 841,zakspeed-841,841
zakspeed,Zakspeed 861,zakspeed-861,861
zakspeed,Zakspeed 871,zakspeed-871,871
zakspeed,Zakspeed 881,zakspeed-881,881
zakspeed,Zakspeed 891,zakspeed-891,891
